"parameter","mean","sd","2.5%","10%","50%","90%","97.5%","Rhat","n.eff"
"p.occ[9,1]",0.28,0.03,0.23,0.25,0.28,0.31,0.33,1.01,1260
"p.occ[10,1]",0.3,0.03,0.25,0.27,0.3,0.34,0.36,1.01,924
"p.occ[11,1]",0.33,0.03,0.27,0.29,0.33,0.36,0.38,1,1147
"p.occ[12,1]",0.35,0.03,0.3,0.31,0.35,0.39,0.41,1,1522
"p.occ[13,1]",0.35,0.03,0.29,0.31,0.35,0.39,0.41,1,1557
"p.occ[14,1]",0.37,0.03,0.31,0.33,0.37,0.41,0.44,1,1843
"p.occ[1,2]",0.41,0.05,0.31,0.35,0.41,0.47,0.51,1,2348
"p.occ[2,2]",0.36,0.03,0.3,0.32,0.36,0.4,0.43,1,2580
"p.occ[3,2]",0.37,0.03,0.32,0.34,0.37,0.4,0.42,1,3542
"p.occ[4,2]",0.29,0.03,0.24,0.26,0.29,0.33,0.35,1,3696
"p.occ[5,2]",0.25,0.03,0.2,0.21,0.25,0.29,0.31,1,4159
"p.occ[6,2]",0.34,0.02,0.3,0.31,0.34,0.37,0.39,1,6092
"p.occ[7,2]",0.35,0.02,0.3,0.32,0.35,0.38,0.4,1,5610
"p.occ[8,2]",0.35,0.02,0.3,0.31,0.35,0.38,0.39,1,5286
"p.occ[9,2]",0.29,0.03,0.24,0.26,0.29,0.33,0.34,1,5543
"p.occ[10,2]",0.32,0.02,0.28,0.29,0.32,0.35,0.36,1,5661
"p.occ[11,2]",0.37,0.02,0.33,0.34,0.37,0.4,0.41,1,7268
"p.occ[12,2]",0.48,0.03,0.43,0.45,0.48,0.51,0.53,1,9652
"p.occ[13,2]",0.52,0.03,0.46,0.48,0.52,0.55,0.57,1,6653
"p.occ[14,2]",0.62,0.03,0.56,0.58,0.62,0.65,0.67,1,7294
"p.occ[1,3]",0.25,0.05,0.17,0.19,0.24,0.31,0.36,1,2587
"p.occ[2,3]",0.2,0.03,0.15,0.17,0.2,0.24,0.26,1,1976
"p.occ[3,3]",0.17,0.02,0.12,0.14,0.17,0.2,0.22,1,1745
"p.occ[4,3]",0.21,0.02,0.18,0.19,0.21,0.24,0.25,1,2839
"p.occ[5,3]",0.22,0.02,0.18,0.19,0.22,0.24,0.25,1,5579
"p.occ[6,3]",0.18,0.02,0.14,0.15,0.17,0.2,0.21,1,2746
"p.occ[7,3]",0.15,0.02,0.12,0.13,0.15,0.18,0.19,1,2854
"p.occ[8,3]",0.14,0.02,0.1,0.11,0.14,0.17,0.18,1,2666
"p.occ[9,3]",0.17,0.02,0.13,0.15,0.17,0.2,0.21,1,4252
"p.occ[10,3]",0.24,0.02,0.21,0.22,0.24,0.26,0.27,1,6580
"p.occ[11,3]",0.25,0.02,0.22,0.23,0.25,0.28,0.29,1,5408
"p.occ[12,3]",0.22,0.02,0.18,0.19,0.22,0.25,0.26,1,4258
"p.occ[13,3]",0.2,0.02,0.16,0.17,0.2,0.22,0.24,1,6875
"p.occ[14,3]",0.17,0.02,0.13,0.14,0.17,0.19,0.21,1,5250
"p.occ[1,4]",0.14,0.04,0.07,0.09,0.13,0.19,0.23,1,1712
"p.occ[2,4]",0.16,0.03,0.11,0.13,0.16,0.2,0.23,1,2584
"p.occ[3,4]",0.19,0.02,0.14,0.16,0.19,0.22,0.24,1,3875
"p.occ[4,4]",0.17,0.02,0.13,0.14,0.17,0.2,0.21,1,4191
"p.occ[5,4]",0.16,0.02,0.13,0.14,0.16,0.19,0.21,1,4983
"p.occ[6,4]",0.2,0.02,0.16,0.17,0.19,0.22,0.24,1,5679
"p.occ[7,4]",0.21,0.02,0.17,0.18,0.21,0.24,0.25,1,5221
"p.occ[8,4]",0.22,0.02,0.18,0.19,0.22,0.25,0.27,1,4768
"p.occ[9,4]",0.21,0.02,0.17,0.18,0.21,0.24,0.25,1,4927
"p.occ[10,4]",0.2,0.02,0.16,0.17,0.19,0.22,0.24,1,4130
"p.occ[11,4]",0.19,0.02,0.16,0.17,0.19,0.22,0.24,1,3562
"p.occ[12,4]",0.22,0.02,0.18,0.19,0.22,0.25,0.27,1,3584
"p.occ[13,4]",0.22,0.02,0.18,0.19,0.22,0.26,0.27,1,4063
"p.occ[14,4]",0.26,0.03,0.2,0.22,0.25,0.29,0.31,1,4951
"p.occp[1,1,1]",0.33,0.03,0.28,0.3,0.33,0.37,0.4,1.01,1333
"p.occp[2,1,1]",0.31,0.03,0.25,0.27,0.31,0.35,0.38,1.01,1237
